SNAPSHOT_ID,SOURCE_ENTITY_CODE,CANONICAL_ISO2,CANONICAL_ISO3,COUNTRY_NAME,CODE_SYSTEM,ENTITY_TYPE,IS_AGGREGATE,IDENTITY_MAPPING_STATUS,INDICATOR_CODE,INDICATOR_NAME,INDICATOR_UNIT,SOURCE_ID,SOURCE_NAME,OBSERVATION_YEAR,INDICATOR_VALUE,SOURCE_LAST_UPDATED,OBSERVATION_STATUS,SOURCE_DECIMAL_PRECISION,RAW_VALUE_TEXT,RETRIEVED_AT
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2021,2.744704116,2026-07-13,\N,0,2.74470411565894,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2019,32375632,2026-07-13,\N,0,32375632,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2020,33451132,2026-07-13,\N,0,33451132,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AGO,AO,AGO,Angola,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2021,34532429,2026-07-13,\N,0,34532429,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2019,93.715364964,2026-07-13,\N,0,93.7153649635036,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2020,92.280291971,2026-07-13,\N,0,92.2802919708029,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2021,90.867226277,2026-07-13,\N,0,90.8672262773723,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2019,5072.436483547,2026-07-13,\N,1,5072.43648354739,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2020,4980.616995247,2026-07-13,\N,1,4980.61699524696,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),constant 2015 US$,2,World Development Indicators,2021,5511.757434029,2026-07-13,\N,1,5511.75743402862,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2019,992.412571746,2026-07-13,\N,2,992.412571745731,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2020,1070.474569643,2026-07-13,\N,2,1070.47456964305,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",current international $,2,World Development Indicators,2021,1170.789558972,2026-07-13,\N,2,1170.78955897245,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2019,14.248098663,2026-07-13,\N,0,14.2480986631067,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2020,14.76700441,2026-07-13,\N,0,14.7670044100644,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),% of total population,2,World Development Indicators,2021,15.266005073,2026-07-13,\N,0,15.2660050732804,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2019,2567801,2026-07-13,\N,0,2567801,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2020,2528480,2026-07-13,\N,0,2528480,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,ALB,AL,ALB,Albania,ISO-3166-1,economy,False,matched_iso,SP.POP.TOTL,"Population, total",people,2,World Development Indicators,2021,2489762,2026-07-13,\N,0,2489762,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AND,AD,AND,Andorra,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2019,162.710638298,2026-07-13,\N,0,162.710638297872,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AND,AD,AND,Andorra,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2020,164.638297872,2026-07-13,\N,0,164.63829787234,2026-07-29T18:04:35Z
wdi2-2019-2021-372906f371e0391f,AND,AD,AND,Andorra,ISO-3166-1,economy,False,matched_iso,EN.POP.DNST,Population density (people per sq. km of land area),people per sq. km of land area,2,World Development Indicators,2021,166.731914894,2026-07-13,\N,0,166.731914893617,2026-07-29T18:04:35Z
